OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
22635,Neighborhood Profile Area,249,249,2016,05,Aggravated Assault-Knife,1
22642,Neighborhood Profile Area,314,314,2016,06,Aggravated Assault-Gun,6
22646,Neighborhood Profile Area,344,344,2016,03,Aggravated Assault-Knife,1
22647,Neighborhood Profile Area,344,344,2016,09,Aggravated Assault-Other Weapon,1
22672,Neighborhood Profile Area,304,304,2016,01,Aggravated Assault-Knife,1
22727,Neighborhood Profile Area,35,35,2016,09,Aggravated Assault-Gun,1
22740,Neighborhood Profile Area,94,94,2016,10,"Aggravated Assault-Fists,Feet, etc.",1
22754,Neighborhood Profile Area,168,168,2016,02,Aggravated Assault-Other Weapon,1
22755,Neighborhood Profile Area,16,16,2016,10,Aggravated Assault-Gun,1
22772,Neighborhood Profile Area,102,102,2016,06,Aggravated Assault-Gun,2
22773,Neighborhood Profile Area,101,101,2016,12,Aggravated Assault-Gun,5
22797,Neighborhood Profile Area,78,78,2016,07,Aggravated Assault-Gun,1
22802,Neighborhood Profile Area,79,79,2016,02,"Aggravated Assault-Fists,Feet, etc.",1
22820,Neighborhood Profile Area,155,155,2016,08,Aggravated Assault-Other Weapon,2
22838,Neighborhood Profile Area,139,139,2016,12,Aggravated Assault-Knife,1
22863,Neighborhood Profile Area,312,312,2016,03,Aggravated Assault-Other Weapon,1
22864,Neighborhood Profile Area,102,102,2016,11,Aggravated Assault-Knife,3
22874,Neighborhood Profile Area,88,88,2016,10,Aggravated Assault-Other Weapon,1
22909,Neighborhood Profile Area,139,139,2016,10,Aggravated Assault-Gun,2
22911,Neighborhood Profile Area,363,363,2016,08,Aggravated Assault-Gun,1
22992,Neighborhood Profile Area,18,18,2016,12,Aggravated Assault-Knife,1
23007,Neighborhood Profile Area,363,363,2016,02,Aggravated Assault-Knife,2
23029,Neighborhood Profile Area,381,381,2016,12,Aggravated Assault-Other Weapon,1
23038,Neighborhood Profile Area,249,249,2016,12,Aggravated Assault-Knife,1
23050,Neighborhood Profile Area,10,10,2016,10,Aggravated Assault-Knife,2
